Rank,Team,Games Played,Won,Lost,Tied,Pts Scored,Pts Given ,Ratio,Points,Year,Notes
1,Hawthorn,22,17,5,0,2679,1733,154.59,68,2012,
2,Adelaide,22,17,5,0,2428,1833,132.46,68,2012,
3,Sydney (P),22,16,6,0,2290,1629,140.58,64,2012,
4,Collingwood,22,16,6,0,2123,1823,116.46,64,2012,
5,West Coast,22,15,7,0,2244,1807,124.18,60,2012,
6,Geelong,22,15,7,0,2209,1886,117.13,60,2012,
7,Fremantle,22,14,8,0,1956,1691,115.67,56,2012,
8,North Melbourne,22,14,8,0,2359,2097,112.49,56,2012,
9,St Kilda,22,12,10,0,2347,1903,123.33,48,2012,
10,Carlton,22,11,11,0,2079,1925,108,44,2012,
11,Essendon,22,11,11,0,2091,2090,100.05,44,2012,
12,Richmond,22,10,11,1,2169,1943,111.63,42,2012,
13,Brisbane Lions,22,10,12,0,1904,2092,91.01,40,2012,
14,Port Adelaide,22,5,16,1,1691,2144,78.87,22,2012,
15,Western Bulldogs,22,5,17,0,1542,2301,67.01,20,2012,
16,Melbourne,22,4,18,0,1580,2341,67.49,16,2012,
17,Gold Coast,22,3,19,0,1509,2481,60.82,12,2012,
18,Greater Western Sydney,22,2,20,0,1270,2751,46.17,8,2012,
1,Hawthorn (P),22,19,3,0,2523,1859,135.72,76,2013,
2,Geelong,22,18,4,0,2409,1776,135.64,72,2013,
3,Fremantle,22,16,5,1,2035,1518,134.06,66,2013,
4,Sydney,22,15,6,1,2244,1694,132.47,62,2013,
5,Richmond,22,15,7,0,2154,1754,122.81,60,2013,
6,Collingwood,22,14,8,0,2148,1868,114.99,56,2013,
7,Port Adelaide,22,12,10,0,2051,2002,102.45,48,2013,
8,Carlton,22,11,11,0,2125,1992,106.68,44,2013,
9,Essendon,22,14,8,0,2145,2000,107.25,56,2013,Essendon was relegated to 9th due to irregularities
10,North Melbourne,22,10,12,0,2307,1930,119.53,40,2013,
11,Adelaide,22,10,12,0,2064,1909,108.12,40,2013,
12,Brisbane Lions,22,10,12,0,1922,2144,89.65,40,2013,
13,West Coast,22,9,13,0,2038,2139,95.28,36,2013,
14,Gold Coast,22,8,14,0,1918,2091,91.73,32,2013,
15,Western Bulldogs,22,8,14,0,1926,2262,85.15,32,2013,
16,St Kilda,22,5,17,0,1751,2120,82.59,20,2013,
17,Melbourne,22,2,20,0,1455,2691,54.07,8,2013,
18,Greater Western Sydney,22,1,21,0,1524,2990,50.97,4,2013,
1,Sydney,22,17,5,0,2126,1488,142.9,68,2014,
2,Hawthorn (P),22,17,5,0,2458,1746,140.8,68,2014,
3,Geelong,22,17,5,0,2033,1787,113.8,68,2014,
4,Fremantle,22,16,6,0,2029,1556,130.4,64,2014,
5,Port Adelaide,22,14,8,0,2180,1678,129.9,56,2014,
6,North Melbourne,22,14,8,0,2026,1731,117,56,2014,
7,Essendon,22,12,9,1,1828,1719,106.3,50,2014,
8,Richmond,22,12,10,0,1887,1784,105.8,48,2014,
